TIME,H1_TEMP,H2_TEMP,AMB_TEMP,SP1_ABS,SP2_ABS,SP1_REL,SP2_REL,H1_MUL_NOISE,H2_MUL_NOISE,F_MUL_NOISE,H1_ADD_NOISE,H2_ADD_NOISE,F_ADD_NOISE,H1_NEG_SAT,H2_NEG_SAT,F_NEG_SAT,H1_POS_SAT,H2_POS_SAT,F_POS_SAT,H1_RATE_SAT,H2_RATE_SAT,F_RATE_SAT,H1_C_PWM,H2_C_PWM,F_C_PWM,H1_D_PWM,H2_D_PWM,F_D_PWM,CTRL_ACTION,CTRL_TIME
15800,19.5,20.0,19.5,0.0,0.0,0.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
16000,19.5,20.0,19.5,0.0,0.0,0.0,1.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
16200,19.5,20.0,19.5,0.0,0.0,0.0,1.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
16400,19.5,20.0,19.5,0.0,0.0,0.0,1.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
16600,19.5,20.0,19.5,0.0,0.0,0.0,1.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
16800,19.5,20.0,19.5,0.0,0.0,0.0,1.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
17000,19.5,20.0,19.5,0.0,0.0,0.0,1.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
17200,19.5,20.0,19.5,0.0,0.0,0.0,1.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
17400,19.5,20.0,19.5,0.0,0.0,0.0,1.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
17600,19.5,20.0,19.5,0.0,0.0,0.0,1.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
17800,19.5,20.0,19.5,0.0,0.0,0.0,1.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
18000,19.5,20.0,19.5,0.0,0.0,0.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
18200,19.5,20.0,19.5,0.0,0.0,0.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
18400,19.5,20.0,19.5,0.0,0.0,0.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
18600,19.5,20.0,19.5,0.0,0.0,0.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
18800,19.5,20.0,19.5,0.0,0.0,0.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
